12:22:41.896 [http-nio-9992-exec-1] INFO  BUSINESS - 创建默认用户信息,id:2069999697694900225
12:22:41.983 [http-nio-9990-exec-2] INFO  BUSINESS - 用户基本信息生成成功
12:35:22.850 [http-nio-9990-exec-2] INFO  BUSINESS - 用户请求注册,用户名：hjy
12:35:23.004 [http-nio-9990-exec-2] INFO  BUSINESS - 用户注册信息已保存,用户名：hjy
12:35:23.006 [http-nio-9990-exec-2] INFO  BUSINESS - 用户默认角色已创建
12:35:23.476 [http-nio-9992-exec-1] INFO  BUSINESS - 创建默认用户信息,id:2070002892391436289
12:35:23.557 [http-nio-9990-exec-2] INFO  BUSINESS - 用户基本信息生成成功
12:35:23.625 [http-nio-9990-exec-2] INFO  BUSINESS - token生成
12:53:02.878 [http-nio-9990-exec-7] INFO  BUSINESS - 用户请求注册,用户名：hjy
12:55:12.200 [http-nio-9990-exec-6] INFO  BUSINESS - 用户请求登录,用户名：hjy
12:55:27.896 [http-nio-9990-exec-3] INFO  BUSINESS - 用户请求登录,用户名：hjy
12:55:37.058 [http-nio-9990-exec-8] INFO  BUSINESS - 用户请求登录,用户名：hjy
12:55:37.128 [http-nio-9990-exec-8] INFO  BUSINESS - 用户登录验证成功,userId:2070002892391436289
12:55:37.137 [http-nio-9990-exec-8] INFO  BUSINESS - 最后登录时间已更新
12:55:37.139 [http-nio-9990-exec-8] INFO  BUSINESS - token生成成功
15:16:45.700 [http-nio-9990-exec-3] INFO  BUSINESS - 用户请求获取验证码
15:16:45.727 [http-nio-9990-exec-3] INFO  BUSINESS - 验证码生成成功
15:16:48.662 [http-nio-9990-exec-2] INFO  BUSINESS - 用户请求获取验证码
15:16:48.662 [http-nio-9990-exec-2] INFO  BUSINESS - 验证码生成成功
15:30:41.218 [http-nio-9990-exec-5] INFO  BUSINESS - 用户请求获取验证码
15:30:41.218 [http-nio-9990-exec-5] INFO  BUSINESS - 验证码生成成功
15:30:46.133 [http-nio-9990-exec-10] INFO  BUSINESS - 用户请求获取验证码
15:30:46.133 [http-nio-9990-exec-10] INFO  BUSINESS - 验证码生成成功
15:30:47.218 [http-nio-9990-exec-1] INFO  BUSINESS - 用户请求获取验证码
15:30:47.218 [http-nio-9990-exec-1] INFO  BUSINESS - 验证码生成成功
15:30:51.789 [http-nio-9990-exec-3] INFO  BUSINESS - 用户请求获取验证码
15:30:51.789 [http-nio-9990-exec-3] INFO  BUSINESS - 验证码生成成功
15:31:12.268 [http-nio-9990-exec-2] INFO  BUSINESS - 用户请求获取验证码
15:31:12.268 [http-nio-9990-exec-2] INFO  BUSINESS - 验证码生成成功
15:31:17.101 [http-nio-9990-exec-4] INFO  BUSINESS - 用户请求获取验证码
15:31:17.101 [http-nio-9990-exec-4] INFO  BUSINESS - 验证码生成成功
15:31:18.204 [http-nio-9990-exec-9] INFO  BUSINESS - 用户请求获取验证码
15:31:18.204 [http-nio-9990-exec-9] INFO  BUSINESS - 验证码生成成功
15:31:34.108 [http-nio-9990-exec-6] INFO  BUSINESS - 用户请求获取验证码
15:31:34.108 [http-nio-9990-exec-6] INFO  BUSINESS - 验证码生成成功
15:31:35.274 [http-nio-9990-exec-7] INFO  BUSINESS - 用户请求获取验证码
15:31:35.274 [http-nio-9990-exec-7] INFO  BUSINESS - 验证码生成成功
15:31:48.788 [http-nio-9990-exec-10] INFO  BUSINESS - 用户请求获取验证码
15:31:48.789 [http-nio-9990-exec-10] INFO  BUSINESS - 验证码生成成功
15:31:50.154 [http-nio-9990-exec-1] INFO  BUSINESS - 用户请求获取验证码
15:31:50.154 [http-nio-9990-exec-1] INFO  BUSINESS - 验证码生成成功
15:32:02.668 [http-nio-9990-exec-3] INFO  BUSINESS - 用户请求获取验证码
15:32:02.668 [http-nio-9990-exec-3] INFO  BUSINESS - 验证码生成成功
15:32:03.539 [http-nio-9990-exec-2] INFO  BUSINESS - 用户请求获取验证码
15:32:03.539 [http-nio-9990-exec-2] INFO  BUSINESS - 验证码生成成功
15:32:16.096 [http-nio-9990-exec-9] INFO  BUSINESS - 用户请求获取验证码
15:32:16.097 [http-nio-9990-exec-9] INFO  BUSINESS - 验证码生成成功
15:32:22.470 [http-nio-9990-exec-6] INFO  BUSINESS - 用户请求获取验证码
15:32:22.470 [http-nio-9990-exec-6] INFO  BUSINESS - 验证码生成成功
15:32:41.332 [http-nio-9990-exec-7] INFO  BUSINESS - 用户请求获取验证码
15:32:41.332 [http-nio-9990-exec-7] INFO  BUSINESS - 验证码生成成功
15:36:22.550 [http-nio-9990-exec-2] INFO  BUSINESS - 用户请求获取验证码
15:36:22.573 [http-nio-9990-exec-2] INFO  BUSINESS - 验证码生成成功
15:36:33.201 [http-nio-9990-exec-6] INFO  BUSINESS - 用户请求获取验证码
15:36:33.201 [http-nio-9990-exec-6] INFO  BUSINESS - 验证码生成成功
15:36:39.139 [http-nio-9990-exec-4] INFO  BUSINESS - 用户请求获取验证码
15:36:39.139 [http-nio-9990-exec-4] INFO  BUSINESS - 验证码生成成功
15:36:51.951 [http-nio-9990-exec-9] INFO  BUSINESS - 用户请求获取验证码
15:36:51.951 [http-nio-9990-exec-9] INFO  BUSINESS - 验证码生成成功
15:42:26.171 [http-nio-9990-exec-8] INFO  BUSINESS - 用户请求获取验证码
15:42:26.171 [http-nio-9990-exec-8] INFO  BUSINESS - 验证码生成成功
15:59:10.516 [http-nio-9990-exec-10] INFO  BUSINESS - 用户请求获取验证码
15:59:10.516 [http-nio-9990-exec-10] INFO  BUSINESS - 验证码生成成功
15:59:42.693 [http-nio-9990-exec-1] INFO  BUSINESS - 用户请求获取验证码
15:59:42.693 [http-nio-9990-exec-1] INFO  BUSINESS - 验证码生成成功
15:59:44.016 [http-nio-9990-exec-2] INFO  BUSINESS - 用户请求获取验证码
15:59:44.016 [http-nio-9990-exec-2] INFO  BUSINESS - 验证码生成成功
16:27:27.881 [http-nio-9990-exec-4] INFO  BUSINESS - 用户请求登录,用户名：hjy
16:27:28.385 [http-nio-9990-exec-4] INFO  BUSINESS - 用户登录验证成功,userId:2070002892391436289
16:27:28.397 [http-nio-9990-exec-4] INFO  BUSINESS - 最后登录时间已更新
16:27:28.464 [http-nio-9990-exec-4] INFO  BUSINESS - token生成成功
16:55:25.495 [http-nio-9990-exec-1] INFO  BUSINESS - 用户请求登录,用户名：hjy
16:55:25.876 [http-nio-9990-exec-1] INFO  BUSINESS - 用户登录验证成功,userId:2070002892391436289
16:55:25.898 [http-nio-9990-exec-1] INFO  BUSINESS - 最后登录时间已更新
16:55:25.953 [http-nio-9990-exec-1] INFO  BUSINESS - token生成成功
17:10:43.845 [http-nio-9990-exec-1] INFO  BUSINESS - 用户请求获取验证码
17:10:43.865 [http-nio-9990-exec-1] INFO  BUSINESS - 验证码生成成功
18:15:06.806 [http-nio-9992-exec-1] INFO  BUSINESS - 关注用户,attentionId:2070002892391436289,beAttentionId:123456789
18:51:53.225 [http-nio-9990-exec-1] INFO  BUSINESS - 用户请求注销,用户id：2070002892391436289
18:51:53.380 [http-nio-9990-exec-1] INFO  BUSINESS - 用户注销验证成功
18:51:53.383 [http-nio-9990-exec-1] INFO  BUSINESS - 用户角色已删除
18:51:53.504 [http-nio-9992-exec-4] INFO  BUSINESS - 删除用户信息,id:2070002892391436289
18:51:53.529 [http-nio-9990-exec-1] INFO  BUSINESS - 用户信息已删除
